S_No,Location,Zone_Type,Year,Month,Month_Name,Noise_Day_dB,Noise_Night_dB,Base_2008_Day_dB,Base_2008_Night_dB,Zone_Category
6,Daryaganj,Commercial,2022,4,Apr,75.69,65.34,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,5,May,74.97,65.51,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,6,Jun,75.24,65.68,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,7,Jul,74.73,65.46,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,8,Aug,74.65,65.26,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,9,Sep,74.17,65.25,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,10,Oct,74.56,65.87,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,11,Nov,73.3,65.45,62.53,54.94,Critical
6,Daryaganj,Commercial,2022,12,Dec,74.36,64.2,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,1,Jan,74.52,65.31,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,2,Feb,74.3,65.29,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,3,Mar,74.92,66.35,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,4,Apr,76.03,66.4,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,5,May,76.25,65.88,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,6,Jun,75.95,66.57,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,7,Jul,75.47,66.53,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,8,Aug,75.56,66.01,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,9,Sep,75.74,66.05,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,10,Oct,75.52,66.47,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,11,Nov,74.93,66.0,62.53,54.94,Critical
6,Daryaganj,Commercial,2023,12,Dec,75.1,65.43,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,1,Jan,75.79,65.84,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,2,Feb,76.23,66.26,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,3,Mar,76.15,66.93,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,4,Apr,76.38,66.4,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,5,May,76.34,67.2,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,6,Jun,76.65,67.75,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,7,Jul,76.13,67.63,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,8,Aug,76.74,66.89,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,9,Sep,76.24,66.84,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,10,Oct,76.64,67.25,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,11,Nov,76.41,66.67,62.53,54.94,Critical
6,Daryaganj,Commercial,2024,12,Dec,75.71,66.3,62.53,54.94,Critical
7,Defence Colony,Residential,2020,1,Jan,67.73,61.18,61.21,55.17,High
7,Defence Colony,Residential,2020,2,Feb,67.27,62.01,61.21,55.17,High
7,Defence Colony,Residential,2020,3,Mar,68.38,62.03,61.21,55.17,High
7,Defence Colony,Residential,2020,4,Apr,68.62,62.39,61.21,55.17,High
7,Defence Colony,Residential,2020,5,May,68.69,62.26,61.21,55.17,High
7,Defence Colony,Residential,2020,6,Jun,69.19,62.4,61.21,55.17,High
7,Defence Colony,Residential,2020,7,Jul,69.07,62.08,61.21,55.17,High
7,Defence Colony,Residential,2020,8,Aug,69.02,62.53,61.21,55.17,High
7,Defence Colony,Residential,2020,9,Sep,68.51,62.48,61.21,55.17,High
7,Defence Colony,Residential,2020,10,Oct,69.28,62.69,61.21,55.17,High
7,Defence Colony,Residential,2020,11,Nov,67.57,61.71,61.21,55.17,High
7,Defence Colony,Residential,2020,12,Dec,67.56,61.8,61.21,55.17,High
7,Defence Colony,Residential,2021,1,Jan,69.82,62.97,61.21,55.17,Critical
7,Defence Colony,Residential,2021,2,Feb,69.88,63.06,61.21,55.17,Critical
7,Defence Colony,Residential,2021,3,Mar,70.07,63.17,61.21,55.17,Critical
7,Defence Colony,Residential,2021,4,Apr,70.24,63.38,61.21,55.17,Critical
7,Defence Colony,Residential,2021,5,May,70.52,64.31,61.21,55.17,Critical
7,Defence Colony,Residential,2021,6,Jun,70.73,64.98,61.21,55.17,Critical
7,Defence Colony,Residential,2021,7,Jul,71.11,64.15,61.21,55.17,Critical
7,Defence Colony,Residential,2021,8,Aug,70.27,64.1,61.21,55.17,Critical
7,Defence Colony,Residential,2021,9,Sep,70.18,63.73,61.21,55.17,Critical
7,Defence Colony,Residential,2021,10,Oct,71.63,63.86,61.21,55.17,Critical
7,Defence Colony,Residential,2021,11,Nov,70.77,63.38,61.21,55.17,Critical
7,Defence Colony,Residential,2021,12,Dec,69.8,63.82,61.21,55.17,Critical
7,Defence Colony,Residential,2022,1,Jan,71.56,65.33,61.21,55.17,Critical
7,Defence Colony,Residential,2022,2,Feb,72.29,64.72,61.21,55.17,Critical
7,Defence Colony,Residential,2022,3,Mar,72.76,65.48,61.21,55.17,Critical
7,Defence Colony,Residential,2022,4,Apr,73.06,64.92,61.21,55.17,Critical
7,Defence Colony,Residential,2022,5,May,72.82,65.52,61.21,55.17,Critical
7,Defence Colony,Residential,2022,6,Jun,73.28,65.98,61.21,55.17,Critical
7,Defence Colony,Residential,2022,7,Jul,73.18,65.29,61.21,55.17,Critical
7,Defence Colony,Residential,2022,8,Aug,72.96,65.67,61.21,55.17,Critical
7,Defence Colony,Residential,2022,9,Sep,72.83,65.61,61.21,55.17,Critical
7,Defence Colony,Residential,2022,10,Oct,73.14,65.63,61.21,55.17,Critical
7,Defence Colony,Residential,2022,11,Nov,72.48,64.69,61.21,55.17,Critical
7,Defence Colony,Residential,2022,12,Dec,72.18,64.95,61.21,55.17,Critical
7,Defence Colony,Residential,2023,1,Jan,72.52,64.91,61.21,55.17,Critical
7,Defence Colony,Residential,2023,2,Feb,72.18,65.71,61.21,55.17,Critical
7,Defence Colony,Residential,2023,3,Mar,73.09,65.89,61.21,55.17,Critical
7,Defence Colony,Residential,2023,4,Apr,73.42,65.9,61.21,55.17,Critical
7,Defence Colony,Residential,2023,5,May,74.09,65.94,61.21,55.17,Critical
7,Defence Colony,Residential,2023,6,Jun,73.95,66.15,61.21,55.17,Critical
7,Defence Colony,Residential,2023,7,Jul,73.54,66.1,61.21,55.17,Critical
7,Defence Colony,Residential,2023,8,Aug,73.5,65.85,61.21,55.17,Critical
7,Defence Colony,Residential,2023,9,Sep,73.71,65.52,61.21,55.17,Critical
7,Defence Colony,Residential,2023,10,Oct,73.34,65.86,61.21,55.17,Critical
7,Defence Colony,Residential,2023,11,Nov,73.69,65.75,61.21,55.17,Critical
7,Defence Colony,Residential,2023,12,Dec,73.02,64.94,61.21,55.17,Critical
7,Defence Colony,Residential,2024,1,Jan,73.22,65.96,61.21,55.17,Critical
7,Defence Colony,Residential,2024,2,Feb,73.34,66.11,61.21,55.17,Critical
7,Defence Colony,Residential,2024,3,Mar,73.6,66.51,61.21,55.17,Critical
7,Defence Colony,Residential,2024,4,Apr,75.03,66.18,61.21,55.17,Critical
7,Defence Colony,Residential,2024,5,May,74.23,66.93,61.21,55.17,Critical
7,Defence Colony,Residential,2024,6,Jun,75.24,66.53,61.21,55.17,Critical
7,Defence Colony,Residential,2024,7,Jul,74.24,66.51,61.21,55.17,Critical
7,Defence Colony,Residential,2024,8,Aug,73.57,66.11,61.21,55.17,Critical
7,Defence Colony,Residential,2024,9,Sep,73.51,65.96,61.21,55.17,Critical
7,Defence Colony,Residential,2024,10,Oct,74.1,66.46,61.21,55.17,Critical
7,Defence Colony,Residential,2024,11,Nov,74.43,65.79,61.21,55.17,Critical
7,Defence Colony,Residential,2024,12,Dec,73.7,65.73,61.21,55.17,Critical
8,Dwaraka,Residential,2020,1,Jan,66.26,59.67,60.09,53.29,High
8,Dwaraka,Residential,2020,2,Feb,66.03,59.68,60.09,53.29,High
8,Dwaraka,Residential,2020,3,Mar,67.05,60.02,60.09,53.29,High
8,Dwaraka,Residential,2020,4,Apr,67.4,60.81,60.09,53.29,High
8,Dwaraka,Residential,2020,5,May,67.32,60.11,60.09,53.29,High
8,Dwaraka,Residential,2020,6,Jun,67.53,60.3,60.09,53.29,High
8,Dwaraka,Residential,2020,7,Jul,67.33,60.73,60.09,53.29,High
8,Dwaraka,Residential,2020,8,Aug,67.85,60.0,60.09,53.29,High
8,Dwaraka,Residential,2020,9,Sep,66.75,60.11,60.09,53.29,High
8,Dwaraka,Residential,2020,10,Oct,67.06,60.36,60.09,53.29,High
8,Dwaraka,Residential,2020,11,Nov,67.06,59.42,60.09,53.29,High
8,Dwaraka,Residential,2020,12,Dec,67.1,60.11,60.09,53.29,High
8,Dwaraka,Residential,2021,1,Jan,68.03,60.85,60.09,53.29,High
8,Dwaraka,Residential,2021,2,Feb,68.59,61.17,60.09,53.29,High
8,Dwaraka,Residential,2021,3,Mar,69.24,61.97,60.09,53.29,High
8,Dwaraka,Residential,2021,4,Apr,69.21,61.33,60.09,53.29,High
8,Dwaraka,Residential,2021,5,May,69.03,61.55,60.09,53.29,High
8,Dwaraka,Residential,2021,6,Jun,69.77,62.51,60.09,53.29,Critical
8,Dwaraka,Residential,2021,7,Jul,69.37,61.94,60.09,53.29,High
8,Dwaraka,Residential,2021,8,Aug,69.27,62.03,60.09,53.29,High
8,Dwaraka,Residential,2021,9,Sep,70.09,61.31,60.09,53.29,High
8,Dwaraka,Residential,2021,10,Oct,69.08,61.98,60.09,53.29,High
8,Dwaraka,Residential,2021,11,Nov,69.25,61.92,60.09,53.29,High
8,Dwaraka,Residential,2021,12,Dec,68.71,60.96,60.09,53.29,High
8,Dwaraka,Residential,2022,1,Jan,70.72,62.9,60.09,53.29,Critical
8,Dwaraka,Residential,2022,2,Feb,71.01,62.82,60.09,53.29,Critical
8,Dwaraka,Residential,2022,3,Mar,71.61,63.32,60.09,53.29,Critical
8,Dwaraka,Residential,2022,4,Apr,72.03,63.36,60.09,53.29,Critical
8,Dwaraka,Residential,2022,5,May,71.71,63.41,60.09,53.29,Critical
8,Dwaraka,Residential,2022,6,Jun,72.46,63.32,60.09,53.29,Critical
8,Dwaraka,Residential,2022,7,Jul,71.93,63.35,60.09,53.29,Critical
8,Dwaraka,Residential,2022,8,Aug,71.49,63.65,60.09,53.29,Critical
8,Dwaraka,Residential,2022,9,Sep,71.36,63.08,60.09,53.29,Critical
8,Dwaraka,Residential,2022,10,Oct,70.94,63.49,60.09,53.29,Critical
8,Dwaraka,Residential,2022,11,Nov,71.44,63.62,60.09,53.29,Critical
8,Dwaraka,Residential,2022,12,Dec,70.56,62.74,60.09,53.29,Critical
8,Dwaraka,Residential,2023,1,Jan,71.18,63.54,60.09,53.29,Critical
8,Dwaraka,Residential,2023,2,Feb,71.24,63.25,60.09,53.29,Critical
8,Dwaraka,Residential,2023,3,Mar,72.02,63.53,60.09,53.29,Critical
8,Dwaraka,Residential,2023,4,Apr,71.9,63.73,60.09,53.29,Critical
8,Dwaraka,Residential,2023,5,May,72.81,63.56,60.09,53.29,Critical
8,Dwaraka,Residential,2023,6,Jun,72.63,63.86,60.09,53.29,Critical
8,Dwaraka,Residential,2023,7,Jul,72.86,63.51,60.09,53.29,Critical
8,Dwaraka,Residential,2023,8,Aug,71.86,63.88,60.09,53.29,Critical
8,Dwaraka,Residential,2023,9,Sep,72.51,63.55,60.09,53.29,Critical
8,Dwaraka,Residential,2023,10,Oct,71.86,64.33,60.09,53.29,Critical
8,Dwaraka,Residential,2023,11,Nov,71.2,62.81,60.09,53.29,Critical
8,Dwaraka,Residential,2023,12,Dec,71.46,63.02,60.09,53.29,Critical
8,Dwaraka,Residential,2024,1,Jan,71.37,63.68,60.09,53.29,Critical
8,Dwaraka,Residential,2024,2,Feb,72.08,63.4,60.09,53.29,Critical
8,Dwaraka,Residential,2024,3,Mar,71.97,64.13,60.09,53.29,Critical
8,Dwaraka,Residential,2024,4,Apr,73.04,64.04,60.09,53.29,Critical
8,Dwaraka,Residential,2024,5,May,73.82,63.95,60.09,53.29,Critical
8,Dwaraka,Residential,2024,6,Jun,72.67,64.26,60.09,53.29,Critical
8,Dwaraka,Residential,2024,7,Jul,73.06,64.44,60.09,53.29,Critical
8,Dwaraka,Residential,2024,8,Aug,72.68,64.28,60.09,53.29,Critical
8,Dwaraka,Residential,2024,9,Sep,72.08,64.4,60.09,53.29,Critical
8,Dwaraka,Residential,2024,10,Oct,72.75,64.51,60.09,53.29,Critical
8,Dwaraka,Residential,2024,11,Nov,72.62,64.01,60.09,53.29,Critical
8,Dwaraka,Residential,2024,12,Dec,72.21,63.7,60.09,53.29,Critical
9,Greater Kailash,Residential,2020,1,Jan,68.9,63.65,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,2,Feb,68.92,63.56,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,3,Mar,69.3,64.08,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,4,Apr,69.37,64.39,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,5,May,69.92,63.62,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,6,Jun,70.19,64.05,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,7,Jul,70.28,63.95,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,8,Aug,69.46,63.38,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,9,Sep,69.26,63.02,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,10,Oct,69.01,64.18,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,11,Nov,69.65,63.78,62.09,56.5,Critical
9,Greater Kailash,Residential,2020,12,Dec,68.45,63.34,62.09,56.5,High
9,Greater Kailash,Residential,2021,1,Jan,70.64,64.4,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,2,Feb,71.44,65.11,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,3,Mar,71.25,65.16,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,4,Apr,71.72,64.74,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,5,May,71.84,65.35,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,6,Jun,71.74,65.67,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,7,Jul,72.66,65.84,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,8,Aug,71.41,65.62,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,9,Sep,72.0,65.53,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,10,Oct,71.66,65.26,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,11,Nov,71.62,65.27,62.09,56.5,Critical
9,Greater Kailash,Residential,2021,12,Dec,71.2,65.04,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,1,Jan,73.26,66.19,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,2,Feb,73.57,66.51,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,3,Mar,74.37,66.54,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,4,Apr,74.53,67.01,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,5,May,73.88,67.0,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,6,Jun,74.21,67.48,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,7,Jul,74.35,67.08,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,8,Aug,73.83,67.69,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,9,Sep,74.33,66.98,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,10,Oct,73.86,67.09,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,11,Nov,73.79,66.44,62.09,56.5,Critical
9,Greater Kailash,Residential,2022,12,Dec,72.94,65.95,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,1,Jan,73.6,67.04,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,2,Feb,73.45,67.42,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,3,Mar,73.65,66.81,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,4,Apr,74.53,67.76,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,5,May,75.41,67.51,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,6,Jun,75.37,67.84,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,7,Jul,74.67,68.02,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,8,Aug,74.7,67.08,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,9,Sep,74.83,67.76,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,10,Oct,74.19,67.67,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,11,Nov,74.34,67.33,62.09,56.5,Critical
9,Greater Kailash,Residential,2023,12,Dec,73.42,66.75,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,1,Jan,74.13,67.6,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,2,Feb,74.56,67.24,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,3,Mar,75.15,66.8,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,4,Apr,75.6,67.33,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,5,May,75.3,67.71,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,6,Jun,75.12,68.6,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,7,Jul,75.25,68.25,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,8,Aug,75.12,68.09,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,9,Sep,74.97,67.37,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,10,Oct,75.54,67.8,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,11,Nov,74.22,67.52,62.09,56.5,Critical
9,Greater Kailash,Residential,2024,12,Dec,74.94,67.61,62.09,56.5,Critical
10,Inder Puri,Residential,2020,1,Jan,66.47,61.19,60.37,54.83,High
10,Inder Puri,Residential,2020,2,Feb,66.68,62.01,60.37,54.83,High
10,Inder Puri,Residential,2020,3,Mar,67.46,61.82,60.37,54.83,High
10,Inder Puri,Residential,2020,4,Apr,68.02,61.96,60.37,54.83,High
10,Inder Puri,Residential,2020,5,May,67.81,62.03,60.37,54.83,High
10,Inder Puri,Residential,2020,6,Jun,68.08,62.28,60.37,54.83,High
10,Inder Puri,Residential,2020,7,Jul,68.2,62.21,60.37,54.83,High
10,Inder Puri,Residential,2020,8,Aug,67.9,61.97,60.37,54.83,High
10,Inder Puri,Residential,2020,9,Sep,67.44,61.19,60.37,54.83,High
10,Inder Puri,Residential,2020,10,Oct,67.98,62.09,60.37,54.83,High
10,Inder Puri,Residential,2020,11,Nov,67.71,60.82,60.37,54.83,High
10,Inder Puri,Residential,2020,12,Dec,67.65,61.35,60.37,54.83,High
10,Inder Puri,Residential,2021,1,Jan,69.05,62.48,60.37,54.83,High
10,Inder Puri,Residential,2021,2,Feb,69.06,62.57,60.37,54.83,High
10,Inder Puri,Residential,2021,3,Mar,69.06,63.76,60.37,54.83,Critical
10,Inder Puri,Residential,2021,4,Apr,69.53,63.46,60.37,54.83,Critical
10,Inder Puri,Residential,2021,5,May,70.26,63.74,60.37,54.83,Critical
10,Inder Puri,Residential,2021,6,Jun,70.17,63.9,60.37,54.83,Critical
10,Inder Puri,Residential,2021,7,Jul,70.87,63.67,60.37,54.83,Critical
10,Inder Puri,Residential,2021,8,Aug,69.69,63.81,60.37,54.83,Critical
10,Inder Puri,Residential,2021,9,Sep,69.85,63.65,60.37,54.83,Critical
10,Inder Puri,Residential,2021,10,Oct,69.87,63.15,60.37,54.83,Critical
10,Inder Puri,Residential,2021,11,Nov,69.96,62.85,60.37,54.83,Critical
10,Inder Puri,Residential,2021,12,Dec,68.93,62.66,60.37,54.83,High
10,Inder Puri,Residential,2022,1,Jan,70.78,64.49,60.37,54.83,Critical
10,Inder Puri,Residential,2022,2,Feb,71.14,64.62,60.37,54.83,Critical
10,Inder Puri,Residential,2022,3,Mar,72.16,64.93,60.37,54.83,Critical
10,Inder Puri,Residential,2022,4,Apr,71.71,65.28,60.37,54.83,Critical
10,Inder Puri,Residential,2022,5,May,72.59,64.82,60.37,54.83,Critical
10,Inder Puri,Residential,2022,6,Jun,72.55,65.6,60.37,54.83,Critical
10,Inder Puri,Residential,2022,7,Jul,71.99,65.7,60.37,54.83,Critical
10,Inder Puri,Residential,2022,8,Aug,71.75,65.13,60.37,54.83,Critical
10,Inder Puri,Residential,2022,9,Sep,71.54,64.89,60.37,54.83,Critical
10,Inder Puri,Residential,2022,10,Oct,71.37,64.66,60.37,54.83,Critical
10,Inder Puri,Residential,2022,11,Nov,72.15,64.54,60.37,54.83,Critical
10,Inder Puri,Residential,2022,12,Dec,70.61,63.84,60.37,54.83,Critical
10,Inder Puri,Residential,2023,1,Jan,71.15,64.49,60.37,54.83,Critical
10,Inder Puri,Residential,2023,2,Feb,72.27,65.29,60.37,54.83,Critical
10,Inder Puri,Residential,2023,3,Mar,71.83,65.97,60.37,54.83,Critical
10,Inder Puri,Residential,2023,4,Apr,72.8,65.39,60.37,54.83,Critical
10,Inder Puri,Residential,2023,5,May,71.71,66.38,60.37,54.83,Critical
10,Inder Puri,Residential,2023,6,Jun,72.35,65.4,60.37,54.83,Critical
10,Inder Puri,Residential,2023,7,Jul,73.12,66.52,60.37,54.83,Critical
10,Inder Puri,Residential,2023,8,Aug,72.96,65.76,60.37,54.83,Critical
10,Inder Puri,Residential,2023,9,Sep,72.45,65.65,60.37,54.83,Critical
10,Inder Puri,Residential,2023,10,Oct,72.71,65.67,60.37,54.83,Critical
10,Inder Puri,Residential,2023,11,Nov,72.15,65.27,60.37,54.83,Critical
10,Inder Puri,Residential,2023,12,Dec,71.31,64.91,60.37,54.83,Critical
10,Inder Puri,Residential,2024,1,Jan,71.43,65.26,60.37,54.83,Critical
10,Inder Puri,Residential,2024,2,Feb,71.91,65.06,60.37,54.83,Critical
10,Inder Puri,Residential,2024,3,Mar,72.88,66.11,60.37,54.83,Critical
10,Inder Puri,Residential,2024,4,Apr,73.48,65.42,60.37,54.83,Critical
10,Inder Puri,Residential,2024,5,May,73.01,66.37,60.37,54.83,Critical
10,Inder Puri,Residential,2024,6,Jun,73.22,66.22,60.37,54.83,Critical
10,Inder Puri,Residential,2024,7,Jul,73.63,65.9,60.37,54.83,Critical
10,Inder Puri,Residential,2024,8,Aug,73.15,65.59,60.37,54.83,Critical
10,Inder Puri,Residential,2024,9,Sep,72.67,65.89,60.37,54.83,Critical
10,Inder Puri,Residential,2024,10,Oct,72.47,66.12,60.37,54.83,Critical
10,Inder Puri,Residential,2024,11,Nov,72.8,65.86,60.37,54.83,Critical
10,Inder Puri,Residential,2024,12,Dec,72.4,65.8,60.37,54.83,Critical
11,Janak Puri,Residential,2020,1,Jan,68.48,62.52,61.91,55.99,High
11,Janak Puri,Residential,2020,2,Feb,68.68,62.91,61.91,55.99,High
11,Janak Puri,Residential,2020,3,Mar,69.15,63.06,61.91,55.99,Critical
11,Janak Puri,Residential,2020,4,Apr,69.15,63.05,61.91,55.99,Critical
11,Janak Puri,Residential,2020,5,May,69.17,63.97,61.91,55.99,Critical
11,Janak Puri,Residential,2020,6,Jun,69.43,63.44,61.91,55.99,Critical
11,Janak Puri,Residential,2020,7,Jul,69.44,63.82,61.91,55.99,Critical
11,Janak Puri,Residential,2020,8,Aug,69.31,63.72,61.91,55.99,Critical
11,Janak Puri,Residential,2020,9,Sep,68.96,63.23,61.91,55.99,Critical
11,Janak Puri,Residential,2020,10,Oct,69.1,63.99,61.91,55.99,Critical
11,Janak Puri,Residential,2020,11,Nov,68.65,63.14,61.91,55.99,High
11,Janak Puri,Residential,2020,12,Dec,68.88,62.87,61.91,55.99,High
11,Janak Puri,Residential,2021,1,Jan,70.36,64.11,61.91,55.99,Critical
11,Janak Puri,Residential,2021,2,Feb,70.65,64.21,61.91,55.99,Critical
11,Janak Puri,Residential,2021,3,Mar,71.52,65.21,61.91,55.99,Critical
11,Janak Puri,Residential,2021,4,Apr,71.21,64.34,61.91,55.99,Critical
11,Janak Puri,Residential,2021,5,May,71.69,65.72,61.91,55.99,Critical
11,Janak Puri,Residential,2021,6,Jun,71.61,65.64,61.91,55.99,Critical
11,Janak Puri,Residential,2021,7,Jul,72.4,64.88,61.91,55.99,Critical
11,Janak Puri,Residential,2021,8,Aug,71.66,65.34,61.91,55.99,Critical
11,Janak Puri,Residential,2021,9,Sep,71.08,64.59,61.91,55.99,Critical
11,Janak Puri,Residential,2021,10,Oct,71.2,64.55,61.91,55.99,Critical
11,Janak Puri,Residential,2021,11,Nov,70.87,64.18,61.91,55.99,Critical
11,Janak Puri,Residential,2021,12,Dec,70.64,64.02,61.91,55.99,Critical
11,Janak Puri,Residential,2022,1,Jan,72.72,65.28,61.91,55.99,Critical
11,Janak Puri,Residential,2022,2,Feb,72.96,66.1,61.91,55.99,Critical
11,Janak Puri,Residential,2022,3,Mar,72.53,66.26,61.91,55.99,Critical
11,Janak Puri,Residential,2022,4,Apr,74.12,65.99,61.91,55.99,Critical
11,Janak Puri,Residential,2022,5,May,74.6,66.68,61.91,55.99,Critical
11,Janak Puri,Residential,2022,6,Jun,73.85,66.73,61.91,55.99,Critical
11,Janak Puri,Residential,2022,7,Jul,74.15,66.67,61.91,55.99,Critical
11,Janak Puri,Residential,2022,8,Aug,73.85,66.17,61.91,55.99,Critical
11,Janak Puri,Residential,2022,9,Sep,73.5,65.83,61.91,55.99,Critical
11,Janak Puri,Residential,2022,10,Oct,73.59,66.18,61.91,55.99,Critical
11,Janak Puri,Residential,2022,11,Nov,73.04,66.52,61.91,55.99,Critical
11,Janak Puri,Residential,2022,12,Dec,73.27,66.03,61.91,55.99,Critical
11,Janak Puri,Residential,2023,1,Jan,72.79,66.16,61.91,55.99,Critical
11,Janak Puri,Residential,2023,2,Feb,73.92,66.39,61.91,55.99,Critical
11,Janak Puri,Residential,2023,3,Mar,74.86,66.77,61.91,55.99,Critical
11,Janak Puri,Residential,2023,4,Apr,74.31,66.76,61.91,55.99,Critical
11,Janak Puri,Residential,2023,5,May,74.58,67.0,61.91,55.99,Critical
11,Janak Puri,Residential,2023,6,Jun,75.01,67.54,61.91,55.99,Critical
11,Janak Puri,Residential,2023,7,Jul,74.22,66.75,61.91,55.99,Critical
11,Janak Puri,Residential,2023,8,Aug,73.5,67.1,61.91,55.99,Critical
11,Janak Puri,Residential,2023,9,Sep,73.59,66.1,61.91,55.99,Critical
11,Janak Puri,Residential,2023,10,Oct,74.39,67.7,61.91,55.99,Critical
11,Janak Puri,Residential,2023,11,Nov,73.93,66.9,61.91,55.99,Critical
11,Janak Puri,Residential,2023,12,Dec,73.46,66.32,61.91,55.99,Critical
11,Janak Puri,Residential,2024,1,Jan,74.3,66.56,61.91,55.99,Critical
11,Janak Puri,Residential,2024,2,Feb,74.24,66.85,61.91,55.99,Critical
11,Janak Puri,Residential,2024,3,Mar,74.36,67.35,61.91,55.99,Critical
11,Janak Puri,Residential,2024,4,Apr,74.86,67.02,61.91,55.99,Critical
11,Janak Puri,Residential,2024,5,May,75.44,67.18,61.91,55.99,Critical
11,Janak Puri,Residential,2024,6,Jun,75.44,67.65,61.91,55.99,Critical
11,Janak Puri,Residential,2024,7,Jul,75.66,67.69,61.91,55.99,Critical
11,Janak Puri,Residential,2024,8,Aug,74.92,67.6,61.91,55.99,Critical
11,Janak Puri,Residential,2024,9,Sep,75.29,67.32,61.91,55.99,Critical
11,Janak Puri,Residential,2024,10,Oct,74.93,66.96,61.91,55.99,Critical
11,Janak Puri,Residential,2024,11,Nov,74.2,66.96,61.91,55.99,Critical
11,Janak Puri,Residential,2024,12,Dec,73.89,66.69,61.91,55.99,Critical
